mean radius,mean texture,mean perimeter,mean area,mean smoothness,mean compactness,mean concavity,mean concave points,mean symmetry,mean fractal dimension,radius error,texture error,perimeter error,area error,smoothness error,compactness error,concavity error,concave points error,symmetry error,fractal dimension error,worst radius,worst texture,worst perimeter,worst area,worst smoothness,worst compactness,worst concavity,worst concave points,worst symmetry,worst fractal dimension
0.2661944857074175,0.04130939354258085,0.0,0.0,0.017269429661426156,0.07919012751531718,0.22437106538599882,0.0,0.013424681543454345,0.02029085325859817,0.1127324181633267,0.010777342119562987,0.0,0.0,0.011182328936426903,0.018571625138403595,0.03624913322893191,0.03203064124183462,0.014095430973453074,0.012170987045478083,0.0,0.0,0.0,0.0,0.03465943577800717,0.0,0.0,0.0,0.0357091537372513,0.019771467022530662
0.2003975864937597,0.04903237304627348,0.0,0.0,0.015323599938190175,0.06276729185748116,0.0,0.24939258422424052,0.009263484910756228,0.014640644276351393,0.11359727436308358,0.009713720598788014,0.0,0.0,0.010994968194402674,0.015891715786871437,0.027904637686945916,0.02321509149586806,0.011475592509380027,0.011901300856843752,0.0,0.0,0.0,0.0,0.019875282159480843,0.0,0.11572035229581941,0.0,0.026387425331703716,0.01250507397376001
0.2403744259893649,0.04378226582304985,0.0,0.0,0.018701255401135052,0.06561894580153343,0.23218698783537048,0.0,0.011139298248762386,0.021484382493299106,0.09662074236108914,0.009809017731291697,0.0,0.0,0.017731897170262818,0.01493041632784832,0.03203973490241088,0.027596939037604643,0.015259940357461333,0.011894767380972029,0.0,0.0,0.0,0.0,0.022204462625374833,0.06802784047130492,0.0,0.0,0.035402421135275,0.015194258906589077
0.24363310321174153,0.05120994520003677,0.0,0.0,0.02009232673350065,0.06334139530773068,0.23435303242820152,0.0,0.011870059201523998,0.018470244583800557,0.1026488981002978,0.01402692174303942,0.0,0.0,0.01172099401397352,0.017681882104706885,0.038314870961554254,0.03347776321410832,0.018806171763612517,0.020009619107634102,0.0,0.0,0.0,0.0,0.048712495193848016,0.0,0.0,0.0,0.032766516984962885,0.01886376014572664
0.21301150017756354,0.0614654502104033,0.0,0.0,0.01619627556413073,0.0682786700654235,0.0,0.2188833311961411,0.007820326476170257,0.017241354685342235,0.0759278842058601,0.009320730833253982,0.0,0.0,0.012890030304064971,0.016971963916109997,0.03234734595911604,0.026442474703693753,0.011265866244999546,0.014163658347421329,0.0,0.0,0.0,0.0,0.023495749504655664,0.0,0.13331299505471464,0.0,0.025875922490706235,0.015088470060228973
0.21282674935183243,0.05424074185331649,0.0,0.0,0.019985675565976278,0.07236890330366162,0.23113664477029683,0.0,0.01120535783113744,0.020907820484009743,0.12435539752630763,0.011174447726689152,0.0,0.0,0.024303783581213958,0.02191854812964776,0.03838659344884142,0.02818728379720298,0.014592927462605678,0.01861174403212684,0.0,0.0,0.0,0.0,0.034581941326999516,0.0,0.0,0.0,0.04227548672445714,0.018939953083677102
0.2288598827569428,0.049258369578705434,0.0,0.0,0.021963736297280895,0.061527448442249874,0.19862464844375585,0.0,0.010260415625616338,0.02621792539625346,0.11654822856591139,0.01209644714474937,0.0,0.0,0.013656785324476187,0.01448408402800401,0.028804152061641518,0.022778540976039777,0.017088653654411878,0.018898385794146995,0.0,0.0,0.0,0.0,0.04065412110741847,0.06906033909578274,0.0,0.0,0.03421024036539876,0.015007595341214378
0.18762577546701886,0.06013662536029253,0.0,0.0,0.011339608487874525,0.04375985964239863,0.12646001793533648,0.0,0.0079139775292291,0.022192905662378158,0.07098404166434613,0.009067718897530927,0.0,0.0,0.012046834371161724,0.011750154058401175,0.026670030103328923,0.02012905919153736,0.015094277232354807,0.014581883097179584,0.0,0.0,0.0,0.0,0.02350415478200475,0.0569928965741672,0.0,0.23831641541076773,0.02839283235307182,0.013040932179619573
0.1837268533024937,0.043013422622006685,0.0,0.0,0.01673635120204465,0.04930919561575275,0.14776993782820522,0.0,0.008753074652245885,0.0191400605663552,0.077486157859155,0.010397820232497301,0.0,0.0,0.009927229588535959,0.014363938949862189,0.028813266130332284,0.024474322503977006,0.014043985030670735,0.01590901871560016,0.0,0.0,0.0,0.0,0.02713805833332867,0.0,0.0,0.2629971936667293,0.033098466585921874,0.012901646614285597
0.20412450270733595,0.05104819135174994,0.0,0.0,0.013126597747512013,0.04572134867948417,0.13867318648383126,0.0,0.007510763760516897,0.02258808565847249,0.08922455761869025,0.009583879218869438,0.0,0.0,0.012610782480610223,0.012492986977430141,0.0241879710390496,0.02067568095036853,0.018168240890619258,0.014950295977508766,0.0,0.0,0.0,0.0,0.026611761946936607,0.0,0.0,0.25203055189838586,0.022120330679188088,0.01455028393344047
0.2080539665314642,0.044406743993632806,0.0,0.0,0.016604460783571855,0.09224709654272922,0.25779397560871437,0.0,0.012337373386960122,0.024379131959010626,0.10588391399518775,0.012367603921273396,0.0,0.0,0.02046718396523828,0.015432347514311752,0.03084614108636405,0.027503959825270038,0.014062670262178478,0.020921083243241146,0.0,0.0,0.0,0.0,0.034492899387710205,0.0,0.0,0.0,0.04101174316958999,0.02118770482355157
0.19953135880865402,0.0462975481801921,0.0,0.0,0.014615409352037931,0.04607413230395916,0.1439712287895895,0.0,0.008475500456449356,0.01849485282621976,0.08213855642424656,0.011789239652147307,0.0,0.0,0.01350006570263725,0.014323490408609488,0.031990273999242556,0.025204515829542643,0.016989395761345845,0.013793547915968034,0.0,0.0,0.0,0.0,0.03138626748570968,0.0,0.0,0.24263878630759503,0.023335851611842963,0.015449978184010851
0.28144007134403076,0.04836065890180061,0.0,0.0,0.018229893530852966,0.08547730940822724,0.20714358376966405,0.0,0.011234064602403077,0.025086910816295157,0.10132615645355816,0.010677449685291385,0.0,0.0,0.016382711630651876,0.018743983010144398,0.032311345965238436,0.023627647815660992,0.018306173335230453,0.018517320643607428,0.0,0.0,0.0,0.0,0.03242360318785144,0.0,0.0,0.0,0.031223224431155265,0.01948789146833642
0.2174838272905177,0.043399161299431256,0.0,0.0,0.01821984775052773,0.08022573364805904,0.22088131274634704,0.0,0.010312101355844441,0.021457125736695132,0.09922040721135093,0.011452666614514027,0.0,0.0,0.016415625233536055,0.013568798451119718,0.037476057115647374,0.030482629943404706,0.013139286248393963,0.012578485899693133,0.0,0.0,0.0,0.0,0.03492838573903612,0.07534069969605768,0.0,0.0,0.026218384391341915,0.017199463628481914
0.19743095080451364,0.04479339528452269,0.0,0.0,0.018235535239535836,0.082935781193565,0.23424090205491782,0.0,0.011835877108034116,0.015164892436710351,0.08581323027662208,0.011581426301969022,0.0,0.0,0.01228915133553147,0.024084765573734148,0.03731393552436409,0.023380694197825364,0.020241758517160834,0.01843751875644625,0.0,0.0,0.0,0.0,0.03117101142134151,0.08750057886111624,0.0,0.0,0.028092848661014098,0.015455746451075471
0.20761647452356746,0.057048231690625915,0.0,0.0,0.015140200582354454,0.06206743047947854,0.0,0.26069209907618485,0.009365534753765135,0.02364712941993507,0.09087904543203074,0.010770644973126022,0.0,0.0,0.014495482421633798,0.015839840784557885,0.03502023228440787,0.019241455484719363,0.016227396153134278,0.017453572096194934,0.0,0.0,0.0,0.0,0.02971919937767277,0.07568340568591146,0.0,0.0,0.023876069579050745,0.01521655520164877
